rank,source,seed,score,total_duration_s,minimum_duration_s,M1_duration_s,M2_duration_s,M3_duration_s
1,final_review,20250953,30.47980213424935,30.03861756377762,8.223691409434583,9.622131982351537,12.192794171991501,8.223691409434583
2,final_review,20250953,30.38672724304444,29.9455088789272,8.224367282344772,9.621149470950368,12.09999212563206,8.224367282344772
3,final_review,20250953,30.379402285529046,29.938271025404834,8.222625202484249,9.622156438171672,12.093489384748914,8.222625202484249
4,final_review,20250953,30.071571119702146,29.63358432013274,8.159735991388096,9.58699657359295,11.886851755151692,8.159735991388096
5,final_review,20250953,30.051919545514984,29.610875384799137,8.220883214316949,9.621851735313854,11.768140435168334,8.220883214316949
