removed_type,removed_id,remaining_M1_s,remaining_M2_s,remaining_M3_s,remaining_total_s,loss_M1_s,loss_M2_s,loss_M3_s,loss_total_s
bomb,FY1-B1,11.94727374723724,12.941326279818073,7.558703549092261,32.447303576147576,2.462889237370794,-2.338624014441848e-07,7.131337298460494e-08,2.46288907482176
bomb,FY1-B2,14.410162978985808,12.94132604033342,7.558703620405634,34.91019263972486,5.6222262401206535e-09,5.622251109116405e-09,0.0,1.124447379652338e-08
bomb,FY1-B3,11.053032638223799,12.941326045955671,7.558703620405634,31.553062304585104,3.357130346384235,0.0,0.0,3.3571303463842312
bomb,FY2-B1,14.410162984608034,12.941326045955671,7.558703620405634,34.910192650969336,0.0,0.0,0.0,0.0
bomb,FY2-B2,14.410162896141363,9.05380801904835,7.558703620405634,31.02267453559535,8.846667043371781e-08,3.887518026907321,0.0,3.887518115373986
bomb,FY2-B3,14.410162984608034,9.07267394767412,7.558703620405634,31.04154055268779,0.0,3.868652098281551,0.0,3.8686520982815473
bomb,FY3-B1,14.410162984608034,12.783238887752455,7.558703620405634,34.75210549276612,0.0,0.15808715820321595,0.0,0.15808715820321595
bomb,FY3-B2,13.034136983630772,11.522347164119006,6.8315908884716485,31.388075036221426,1.3760260009772622,1.418978881836665,0.7271127319339854,3.522117614747909
bomb,FY3-B3,14.410162984608034,12.941326045955671,7.558703620405634,34.910192650969336,0.0,0.0,0.0,0.0
bomb,FY4-B1,14.410162984608034,9.020310445013857,7.558703620405634,30.989177050027525,0.0,3.9210156009418142,0.0,3.9210156009418107
bomb,FY4-B2,10.803565634861213,12.941326045955671,7.558703620405634,31.30359530122252,3.6065973497468207,0.0,0.0,3.606597349746817
bomb,FY4-B3,14.410162984608034,12.941326045955671,4.3546938561088915,31.706182886672597,0.0,0.0,3.2040097642967424,3.204009764296739
bomb,FY5-B1,14.410162984608034,12.941326045955671,4.083207403356205,31.43469643391991,0.0,0.0,3.475496217049429,3.4754962170494252
bomb,FY5-B2,10.855806325406474,12.941326045955671,7.558703620405634,31.35583599176778,3.5543566592015594,0.0,0.0,3.554356659201556
bomb,FY5-B3,14.41016267943226,12.941326045955657,7.55870392558138,34.91019265096929,3.0517577442878974e-07,1.4210854715202004e-14,-3.051757460070803e-07,4.263256414560601e-14
