profile,region_index,seed,generation,best_duration_s
standard,2,20250901,47,4.5876216982
standard,2,20250901,48,4.5877234795
standard,2,20250901,49,4.5877234795
standard,2,20250901,50,4.5877234795
standard,2,20250901,51,4.5877234795
standard,2,20250901,52,4.5878140434
standard,2,20250901,53,4.5878140434
standard,2,20250901,54,4.5878140434
standard,2,20250901,55,4.5878140434
standard,2,20250901,56,4.5878140434
standard,2,20250901,57,4.5878140434
standard,2,20250901,58,4.5879094170
standard,2,20250901,59,4.5879094170
standard,2,20250901,60,4.5879094170
standard,2,20250901,61,4.5879094170
standard,2,20250901,62,4.5879094170
standard,2,20250901,63,4.5879094170
standard,2,20250901,64,4.5879094170
standard,2,20250901,65,4.5879094170
standard,2,20250901,66,4.5879094170
standard,2,20250901,67,4.5879094170
standard,2,20250901,68,4.5879094170
standard,2,20250901,69,4.5879094170
standard,2,20250901,70,4.5879094170
standard,2,20250901,71,4.5879094170
standard,2,20250901,72,4.5879094170
standard,2,20250901,73,4.5879100890
standard,2,20250901,74,4.5879100890
standard,2,20250901,75,4.5879120334
standard,2,20250901,76,4.5879120334
standard,2,20250901,77,4.5879120334
standard,2,20250901,78,4.5879120334
standard,2,20250901,79,4.5879120334
standard,2,20250901,80,4.5879120334
standard,2,20250901,81,4.5879267948
standard,2,20250901,82,4.5879267948
standard,2,20250901,83,4.5879267948
standard,2,20250901,84,4.5879267948
standard,2,20250901,85,4.5879267948
standard,2,20250901,86,4.5879603790
standard,2,20250901,87,4.5879603790
standard,2,20250901,88,4.5879603790
standard,2,20250901,89,4.5879603790
standard,2,20250901,90,4.5879603790
standard,2,20250901,91,4.5879603790
standard,2,20250901,92,4.5879603790
standard,2,20250901,93,4.5879603790
standard,2,20250901,94,4.5879603790
standard,2,20250901,95,4.5879635006
standard,2,20250901,96,4.5879635006
standard,2,20250901,97,4.5879652389
standard,2,20250901,98,4.5879652389
standard,2,20250901,99,4.5879652389
standard,2,20250901,100,4.5879652389
standard,2,20250901,101,4.5879652389
standard,2,20250901,102,4.5879652389
standard,2,20250901,103,4.5879652389
standard,2,20250901,104,4.5879689139
standard,2,20250901,105,4.5879726042
