profile,uav,rank,theta_deg,speed_mps,release_time_s,fuse_delay_s,burst_time_s,point_duration_s,low_surface_duration_s
standard,FY1,1,6.901852721201663,139.95354143961873,0.00015828881413537665,0.7136606103054681,0.7138188991196035,4.832478027343755,4.586398315429691
standard,FY1,2,6.901659003201749,139.94808612508317,0.0003797124855604572,0.7134905893593868,0.7138703018449473,4.832464599609381,4.586398315429691
standard,FY1,3,6.898584674354742,139.9789680239913,0.0005410787541493267,0.7133615234877568,0.7139026022419062,4.832464599609379,4.586398315429691
standard,FY1,4,6.906577184376861,139.85140242271135,0.0003391909523734471,0.7137227062659653,0.7140618972183388,4.832456054687504,4.586395263671879
standard,FY1,5,6.890913502410902,139.95348376831427,0.000558806146369828,0.7137792226860321,0.7143380288324019,4.832459716796879,4.586392211914067
standard,FY1,6,6.8914302654840895,139.95019075178766,0.0007892025208394715,0.7135749357386584,0.7143641382594978,4.832451171875003,4.586392211914067
standard,FY2,1,239.16242459749503,139.9164583430774,3.726181811028283,7.438330147198162,11.164511958226445,5.07692504882802,3.812063598632866
standard,FY2,2,239.120076885245,139.91900390807683,3.729322096589062,7.439939668308655,11.169261764897717,5.076489257812391,3.811935424804741
standard,FY2,3,239.11347532622278,139.9194007346513,3.729811752946633,7.440190456414745,11.170002209361378,5.076423339843643,3.811917114257863
standard,FY2,4,239.0247083131978,139.9463151495139,3.734423586582464,7.443878003435978,11.178301590018442,5.075681152343641,3.8113220214844308
standard,FY2,5,239.33938467904326,139.93415388059276,3.713132093445836,7.430586484585108,11.143718578030944,5.074726562499894,3.811068725585992
standard,FY2,6,238.98597982611386,139.9248078005273,3.738715571991129,7.445808317219662,11.18452388921079,5.075681152343645,3.811022949218806
standard,FY3,1,151.89049296525226,128.39196839245156,41.10436471058635,11.78068878846852,52.88505349905488,6.701962890626049,1.4343933105467883
standard,FY3,2,151.88405342087898,128.23912644945324,41.1410783161513,11.794401186831701,52.935479502983,6.7019836425791794,1.431723022460865
standard,FY3,3,151.88191703866153,127.74628321459795,41.3290113060559,11.806741071758816,53.13575237781471,6.701986083985403,1.4311584472655454
standard,FY3,4,151.88850270884464,128.1776153356285,41.18111327220002,11.788491728900201,52.96960500110022,6.701972656251058,1.430709838867088
standard,FY3,5,151.88597986287033,128.17717070923018,41.167258877364674,11.797829546702527,52.9650884240672,6.701971435547932,1.4279357910155568
standard,FY3,6,151.88203737591184,127.4974682018873,41.431346935902106,11.808171725476106,53.23951866137821,6.701988525391656,1.4278808593749233
